antecedents,consequents,support,confidence
frozenset({'Has current_act'}),"frozenset({'(-0.003, 1.0]'})",0.5,0.6593406593406593
"frozenset({'(-0.003, 1.0]'})",frozenset({'Has current_act'}),0.5,0.7537688442211056
frozenset({'Yes save_act'}),"frozenset({'(-0.003, 1.0]'})",0.4483333333333333,0.6497584541062802
"frozenset({'(-0.003, 1.0]'})",frozenset({'Yes save_act'}),0.4483333333333333,0.6758793969849246
"frozenset({'Yes save_act', '(-0.003, 1.0]'})",frozenset({'Has current_act'}),0.3433333333333333,0.7657992565055762
"frozenset({'Yes save_act', 'Has current_act'})","frozenset({'(-0.003, 1.0]'})",0.3433333333333333,0.64576802507837
"frozenset({'Has current_act', '(-0.003, 1.0]'})",frozenset({'Yes save_act'}),0.3433333333333333,0.6866666666666666
"frozenset({'(-0.003, 1.0]'})","frozenset({'Yes save_act', 'Has current_act'})",0.3433333333333333,0.5175879396984925
"frozenset({'(-0.003, 1.0]'})",frozenset({'No mortgage'}),0.41333333333333333,0.6231155778894473
frozenset({'No mortgage'}),"frozenset({'(-0.003, 1.0]'})",0.41333333333333333,0.6342710997442456
frozenset({'Has current_act'}),frozenset({'No mortgage'}),0.5016666666666667,0.6615384615384616
frozenset({'No mortgage'}),frozenset({'Has current_act'}),0.5016666666666667,0.7698209718670078
frozenset({'Yes save_act'}),frozenset({'No mortgage'}),0.45,0.6521739130434784
frozenset({'No mortgage'}),frozenset({'Yes save_act'}),0.45,0.6905370843989771
frozenset({'Is Married'}),frozenset({'No mortgage'}),0.435,0.6590909090909091
frozenset({'No mortgage'}),frozenset({'Is Married'}),0.435,0.6675191815856778
"frozenset({'Has current_act', '(-0.003, 1.0]'})",frozenset({'No mortgage'}),0.32166666666666666,0.6433333333333333
"frozenset({'Has current_act', 'No mortgage'})","frozenset({'(-0.003, 1.0]'})",0.32166666666666666,0.6411960132890365
"frozenset({'(-0.003, 1.0]', 'No mortgage'})",frozenset({'Has current_act'}),0.32166666666666666,0.7782258064516129
"frozenset({'Is Married', '(-0.003, 1.0]'})",frozenset({'No mortgage'}),0.2866666666666667,0.6394052044609666
"frozenset({'Is Married', 'No mortgage'})","frozenset({'(-0.003, 1.0]'})",0.2866666666666667,0.6590038314176245
"frozenset({'(-0.003, 1.0]', 'No mortgage'})",frozenset({'Is Married'}),0.2866666666666667,0.6935483870967742
"frozenset({'Yes save_act', '(-0.003, 1.0]'})",frozenset({'No mortgage'}),0.2783333333333333,0.620817843866171
"frozenset({'Yes save_act', 'No mortgage'})","frozenset({'(-0.003, 1.0]'})",0.2783333333333333,0.6185185185185185
"frozenset({'(-0.003, 1.0]', 'No mortgage'})",frozenset({'Yes save_act'}),0.2783333333333333,0.6733870967741935
"frozenset({'Has current_act', 'Yes save_act'})",frozenset({'No mortgage'}),0.35333333333333333,0.664576802507837
"frozenset({'Has current_act', 'No mortgage'})",frozenset({'Yes save_act'}),0.35333333333333333,0.7043189368770764
"frozenset({'Yes save_act', 'No mortgage'})",frozenset({'Has current_act'}),0.35333333333333333,0.7851851851851852
frozenset({'Yes save_act'}),"frozenset({'Has current_act', 'No mortgage'})",0.35333333333333333,0.5120772946859904
frozenset({'No mortgage'}),"frozenset({'Has current_act', 'Yes save_act'})",0.35333333333333333,0.5421994884910486
"frozenset({'Has current_act', 'Is Married'})",frozenset({'No mortgage'}),0.33166666666666667,0.6791808873720137
"frozenset({'Has current_act', 'No mortgage'})",frozenset({'Is Married'}),0.33166666666666667,0.6611295681063123
"frozenset({'Is Married', 'No mortgage'})",frozenset({'Has current_act'}),0.33166666666666667,0.7624521072796935
frozenset({'Is Married'}),"frozenset({'Has current_act', 'No mortgage'})",0.33166666666666667,0.5025252525252525
frozenset({'No mortgage'}),"frozenset({'Has current_act', 'Is Married'})",0.33166666666666667,0.5089514066496164
"frozenset({'Yes save_act', 'Is Married'})",frozenset({'No mortgage'}),0.30666666666666664,0.6642599277978338
"frozenset({'Yes save_act', 'No mortgage'})",frozenset({'Is Married'}),0.30666666666666664,0.6814814814814815
"frozenset({'Is Married', 'No mortgage'})",frozenset({'Yes save_act'}),0.30666666666666664,0.7049808429118773
frozenset({'No Car'}),"frozenset({'(-0.003, 1.0]'})",0.345,0.6809210526315789
"frozenset({'(-0.003, 1.0]'})",frozenset({'No Car'}),0.345,0.5201005025125628
frozenset({'No Car'}),frozenset({'No mortgage'}),0.3283333333333333,0.6480263157894736
frozenset({'No mortgage'}),frozenset({'No Car'}),0.3283333333333333,0.5038363171355499
frozenset({'Has current_act'}),frozenset({'No Car'}),0.39166666666666666,0.5164835164835165
frozenset({'No Car'}),frozenset({'Has current_act'}),0.39166666666666666,0.7730263157894736
frozenset({'Is Married'}),frozenset({'No Car'}),0.33666666666666667,0.51010101010101
frozenset({'No Car'}),frozenset({'Is Married'}),0.33666666666666667,0.6644736842105262
frozenset({'No Car'}),frozenset({'No pep'}),0.28,0.5526315789473685
frozenset({'No pep'}),frozenset({'No Car'}),0.28,0.5153374233128835
frozenset({'No Car'}),frozenset({'Yes save_act'}),0.3416666666666667,0.6743421052631579
"frozenset({'Has current_act', 'No Car'})","frozenset({'(-0.003, 1.0]'})",0.265,0.6765957446808512
"frozenset({'Has current_act', '(-0.003, 1.0]'})",frozenset({'No Car'}),0.265,0.53
"frozenset({'No Car', '(-0.003, 1.0]'})",frozenset({'Has current_act'}),0.265,0.7681159420289856
frozenset({'No Car'}),"frozenset({'Has current_act', '(-0.003, 1.0]'})",0.265,0.5230263157894737
"frozenset({'Has current_act', 'No Car'})",frozenset({'No mortgage'}),0.2633333333333333,0.6723404255319149
"frozenset({'Has current_act', 'No mortgage'})",frozenset({'No Car'}),0.2633333333333333,0.5249169435215946
"frozenset({'No Car', 'No mortgage'})",frozenset({'Has current_act'}),0.2633333333333333,0.8020304568527918
frozenset({'No Car'}),"frozenset({'Has current_act', 'No mortgage'})",0.2633333333333333,0.519736842105263
"frozenset({'Yes save_act', 'No Car'})",frozenset({'Has current_act'}),0.265,0.775609756097561
"frozenset({'Has current_act', 'No Car'})",frozenset({'Yes save_act'}),0.265,0.6765957446808512
frozenset({'No Car'}),"frozenset({'Yes save_act', 'Has current_act'})",0.265,0.5230263157894737
